t,q,q_dot,u
1.0,0.0,0.0,0.0
2.0,6.574642275609801e-5,0.03399997286316901,0.204121557236962
3.0,0.0018321859576765174,0.11070771289025472,0.5445707794153185
4.0,0.007251443169830932,0.28002736145410156,0.993982800167731
5.0,0.021218308831128012,0.5151467888539334,1.4766284913258025
6.0,0.04698343949387097,0.7500499100692576,1.8170004940978868
7.0,0.08444490044424777,0.9919426301631277,1.9228420193320566
8.0,0.13397871197214167,1.2093915890010165,1.8141956030147632
9.0,0.19443628814181918,1.3333664779244807,1.5006449047011228
10.0,0.26091692848696535,1.3402265581202855,0.9422497983463739
11.0,0.3279378890725617,1.129442964300195,0.08007783081309475
12.0,0.3844103725311925,0.7087850460282055,-1.071541498385931
13.0,0.4198821885371676,0.16922944954203864,-1.819661603425862
14.0,0.4283121715711557,-0.42997864280889386,-2.1039203837746205
15.0,0.4068241782173504,-1.0716531570712717,-2.236154008661824
16.0,0.3532413593423019,-1.710303433857155,-2.300841224468624
17.0,0.26770225542749915,-2.3071762744109785,-2.334034640104907
18.0,0.1521556955550969,-2.8507250021341686,-2.349483787537317
19.0,0.009483549198951021,-3.3041272865338183,-2.347002096985293
20.0,-0.15594435107789326,-3.715979388822724,-2.3245865613247076
21.0,-0.34185128415176663,-3.955654223807424,-2.2783144631380794
22.0,-0.5397470414806403,-4.011632597165337,-2.1968927642759164
23.0,-0.740480156668233,-3.9466156745831067,-2.0732405204601867
24.0,-0.9378200589656764,-3.7526473657396777,-1.8951484205545501
25.0,-1.1255083438067692,-3.3803560617904953,-1.6112137236625519
26.0,-1.2944678609472071,-2.8836259907376767,-1.1092875519234004
27.0,-1.438686320341066,-2.126771160294443,-0.007664032731707919
28.0,-1.5449161661960895,-1.1234462872012891,1.78016886904985
29.0,-1.6011844085717768,-0.029419483863811068,2.387186410191341
30.0,-1.6027271999381225,1.062889973928137,2.4582920449891703
31.0,-1.5495969706513721,2.143056520726144,2.4630787785535064
32.0,-1.442560287400014,3.2251427663358854,2.4517930774822267
33.0,-1.2813232119810212,4.298012195482352,2.434737560325334
34.0,-1.0663579225998667,5.352523581549005,2.4069429314650197
35.0,-0.7988302558519472,6.361285703608144,2.342745400537485
36.0,-0.4807624001491238,7.181875897405063,2.1986358623693096
37.0,-0.12165652414124603,7.788120044128527,1.8777870358974578
38.0,0.2677052835503645,8.049917589649574,1.2514044034014704
39.0,0.6702443298722471,7.917550453235197,0.22297175755057008
40.0,1.0659522575169729,7.332564994172568,-1.055426452260487
41.0,1.4325330518198571,6.414423052038365,-2.00830826191018
42.0,1.753091776208119,5.370382606327817,-2.2615201341216835
43.0,2.021509231620105,4.281307121562011,-2.3189727258628627
44.0,2.235541730144648,3.298407100804051,-2.333990953909208
45.0,2.40037118625509,2.348346458443207,-2.335665469635481
46.0,2.5176971778941826,1.5228162749290959,-2.3239360541582945
47.0,2.5938192948144883,0.7376168619688489,-2.301966260849823
48.0,2.63066382566886,-0.005291613898396583,-2.278302415958674
49.0,2.6303964269371054,-0.6744315254270993,-2.270637159707149
50.0,2.596767601348173,-1.3917454244996044,-2.2732567646476145
51.0,2.5271903169080367,-2.1243162604579027,-2.2931683654091453
